id_credito,segmento,provincia,ingreso_mensual,deuda_ingreso,antiguedad_meses,dias_mora,saldo,score,pd_12m,lgd,ead,perdida_esperada,incumplimiento,clasificacion
EC-000001,Vivienda,Manabí,1509.64,0.425,61,0,35740.85,725,0.002,0.25,28447.63,14.22,0,Normal
EC-000002,Microcrédito,Tungurahua,3237.69,0.2533,83,0,1588.31,829,0.002,0.359,1491.81,1.07,0,Normal
EC-000003,Vivienda,Guayas,2085.7,0.3117,54,5,36479.6,823,0.002,0.25,33487.84,16.74,0,Vigilancia
EC-000004,Productivo,Tungurahua,1176.02,0.2347,51,0,18003.41,826,0.002,0.4023,14990.03,12.06,0,Normal
EC-000005,Consumo,Chimborazo,1185.66,0.6782,179,90,1276.97,643,0.01815,0.6347,1125.9,12.97,0,Dudoso
EC-000006,Comercial,Guayas,5656.66,0.3486,51,90,10942.41,678,0.00552,0.4789,9282.81,24.55,0,Dudoso
EC-000007,Vivienda,Loja,1994.85,0.1758,83,120,29791.99,659,0.00937,0.25,28917.95,67.73,0,Pérdida
EC-000008,Vivienda,Tungurahua,6413.95,0.3513,129,0,31148.95,761,0.002,0.25,25869.62,12.93,0,Normal
EC-000009,Consumo,Tungurahua,1581.51,0.14,40,15,1736.21,809,0.002,0.6397,1601.12,2.05,0,Vigilancia
EC-000010,Microcrédito,Tungurahua,2668.53,0.4539,112,15,7507.73,783,0.002,0.5206,5864.95,6.11,0,Vigilancia
EC-000011,Microcrédito,El Oro,10459.23,0.3752,162,0,2670.16,845,0.002,0.5104,2247.07,2.29,0,Normal
EC-000012,Comercial,Tungurahua,1110.65,0.4236,147,0,29486.97,735,0.002,0.3624,25600.97,18.55,0,Normal
EC-000013,Productivo,Tungurahua,643.18,0.178,6,0,62096.47,856,0.002,0.5262,46528.95,48.96,0,Normal
EC-000014,Vivienda,Pichincha,5096.37,0.2626,73,0,54273.25,794,0.002,0.25,48003.45,24.0,0,Normal
EC-000015,Microcrédito,Imbabura,1290.23,0.3257,1,120,1450.8,621,0.01963,0.5501,1278.02,13.8,0,Pérdida
EC-000016,Consumo,Manabí,2178.82,0.1567,110,45,4137.38,770,0.002,0.3932,3162.82,2.49,0,Deficiente
EC-000017,Microcrédito,Pichincha,1508.93,0.2755,59,0,4813.75,825,0.002,0.5282,4811.93,5.08,0,Normal
EC-000018,Consumo,Manabí,2628.86,0.1265,161,0,2929.42,865,0.002,0.4998,2185.05,2.18,0,Normal
EC-000019,Vivienda,Manabí,1190.53,0.3686,32,0,38309.69,806,0.002,0.25,37186.64,18.59,0,Normal
EC-000020,Productivo,Pichincha,1964.59,0.4761,154,0,103431.42,842,0.002,0.568,88705.31,100.77,0,Normal
EC-000021,Vivienda,Chimborazo,2958.33,0.0562,62,0,26697.13,882,0.002,0.25,20886.7,10.44,0,Normal
EC-000022,Microcrédito,Azuay,1146.65,0.3509,166,15,713.88,761,0.002,0.5163,536.54,0.55,0,Vigilancia
EC-000023,Comercial,Loja,1401.01,0.1278,36,15,13053.76,835,0.002,0.4804,11955.12,11.49,0,Vigilancia
EC-000024,Vivienda,Manabí,1761.99,0.4892,49,45,12816.19,768,0.002,0.25,11935.03,5.97,0,Deficiente
EC-000025,Vivienda,Los Ríos,872.42,0.0876,64,60,32105.06,791,0.002,0.25,29169.48,14.58,0,Deficiente
EC-000026,Consumo,Imbabura,1677.96,0.2868,178,0,1517.98,853,0.002,0.4467,1271.4,1.14,0,Normal
EC-000027,Microcrédito,Imbabura,2385.63,0.4764,133,30,1299.36,684,0.00257,0.4357,998.33,1.12,0,Vigilancia
EC-000028,Consumo,Azuay,1703.25,0.3464,147,0,4406.18,820,0.002,0.5738,4146.53,4.76,0,Normal
EC-000029,Consumo,Los Ríos,1851.23,0.2394,100,0,4580.72,819,0.002,0.6054,4415.56,5.35,0,Normal
EC-000030,Productivo,Los Ríos,2179.96,0.1071,144,0,21399.15,840,0.002,0.3536,17755.39,12.56,0,Normal
EC-000031,Vivienda,Manabí,1441.97,0.2859,113,0,28766.32,817,0.002,0.25,27487.39,13.74,0,Normal
EC-000032,Comercial,El Oro,3460.58,0.3735,121,0,4677.4,811,0.002,0.4516,4200.16,3.79,0,Normal
EC-000033,Microcrédito,Pichincha,5616.06,0.8367,151,0,2356.18,684,0.00275,0.603,2044.12,3.39,0,Normal
EC-000034,Microcrédito,Imbabura,1632.97,0.5274,177,0,2683.75,771,0.002,0.3974,2391.14,1.9,0,Normal
EC-000035,Microcrédito,Chimborazo,3027.16,0.2635,104,90,12480.78,701,0.004,0.6068,9362.71,22.75,0,Dudoso
EC-000036,Consumo,Manabí,1889.84,0.5875,80,0,8299.18,769,0.002,0.5683,6266.81,7.12,0,Normal
EC-000037,Consumo,El Oro,2800.54,0.2697,118,0,11018.82,837,0.002,0.6282,10175.63,12.78,0,Normal
EC-000038,Microcrédito,Manabí,6110.46,0.3664,134,180,3171.34,666,0.03188,0.6768,3144.65,67.84,0,Pérdida
EC-000039,Consumo,Pichincha,3073.67,0.6286,178,5,9502.38,775,0.002,0.5073,8192.81,8.31,0,Vigilancia
EC-000040,Productivo,Tungurahua,697.35,0.1662,126,0,19848.32,858,0.002,0.5808,14590.9,16.95,0,Normal
EC-000041,Microcrédito,Imbabura,2966.38,0.2318,172,90,4278.71,717,0.00317,0.5843,3162.23,5.85,0,Dudoso
EC-000042,Vivienda,Chimborazo,4921.46,0.4052,132,0,19395.04,730,0.002,0.25,16502.51,8.25,0,Normal
EC-000043,Productivo,Chimborazo,1912.11,0.5777,172,0,22528.61,772,0.002,0.521,20369.15,21.22,0,Normal
EC-000044,Consumo,Manabí,4218.2,0.3747,136,0,1307.23,777,0.002,0.3855,997.89,0.77,0,Normal
EC-000045,Vivienda,Chimborazo,1410.11,0.5601,160,0,40687.78,752,0.002,0.25,29671.56,14.84,0,Normal
